user_id,category,score,rank
User_1,Electronics,18,1
User_1,Home,17,2
User_1,Clothing,11,3
User_10,Books,16,1
User_10,Toys,15,2
User_10,Home,12,3
User_100,Electronics,13,1
User_100,Home,13,2
User_100,Books,13,3
User_1000,Books,17,1
User_1000,Clothing,16,2
User_1000,Toys,14,3
User_10000,Electronics,22,1
User_10000,Books,13,2
User_10000,Clothing,13,3
User_10001,Clothing,16,1
User_10001,Home,15,2
User_10001,Electronics,12,3
User_10002,Books,17,1
User_10002,Toys,12,2
User_10002,Clothing,11,3
User_1001,Home,25,1
User_1001,Toys,17,2
User_1001,Clothing,11,3
User_10011,Toys,17,1
User_10011,Books,14,2
User_10011,Clothing,14,3
User_10012,Books,15,1
User_10012,Clothing,13,2
User_10012,Home,11,3
User_10017,Books,24,1
User_10017,Electronics,23,2
User_10017,Home,17,3
User_10019,Clothing,15,1
User_10019,Home,14,2
User_10019,Books,11,3
User_10023,Books,14,1
User_10023,Home,12,2
User_10023,Toys,11,3
User_10025,Books,35,1
User_10025,Home,16,2
User_10025,Electronics,15,3
User_10027,Home,13,1
User_10027,Toys,13,2
User_10027,Books,12,3
User_10030,Electronics,18,1
User_10030,Home,15,2
User_10030,Clothing,13,3
User_10031,Books,17,1
User_10031,Clothing,17,2
User_10031,Home,15,3
User_10032,Home,18,1
User_10032,Electronics,13,2
User_10032,Clothing,12,3
User_10037,Electronics,15,1
User_10037,Home,14,2
User_10037,Clothing,14,3
User_10038,Electronics,21,1
User_10038,Home,18,2
User_10038,Toys,15,3
User_10039,Clothing,18,1
User_10039,Home,16,2
User_10039,Toys,16,3
User_10040,Home,17,1
User_10040,Clothing,13,2
User_10040,Toys,7,3
User_10047,Toys,25,1
User_10047,Books,25,2
User_10047,Electronics,14,3
User_10048,Home,14,1
User_10048,Electronics,9,2
User_10048,Toys,8,3
User_10049,Books,16,1
User_10049,Home,14,2
User_10049,Electronics,12,3
User_1005,Home,21,1
User_1005,Electronics,18,2
User_1005,Clothing,14,3
User_10051,Toys,15,1
User_10051,Electronics,13,2
User_10051,Home,13,3
User_10054,Electronics,25,1
User_10054,Clothing,20,2
User_10054,Books,14,3
User_10059,Books,20,1
User_10059,Electronics,12,2
User_10059,Clothing,11,3
User_1006,Electronics,16,1
User_1006,Books,14,2
User_1006,Toys,14,3
User_10060,Books,19,1
User_10060,Home,18,2
User_10060,Toys,8,3
User_10062,Books,20,1
User_10062,Toys,18,2
User_10062,Electronics,11,3
User_10065,Toys,19,1
User_10065,Books,17,2
User_10065,Electronics,14,3
User_10067,Electronics,18,1
User_10067,Toys,13,2
User_10067,Clothing,10,3
User_10068,Clothing,17,1
User_10068,Home,12,2
User_10068,Electronics,12,3
User_10069,Home,21,1
User_10069,Toys,19,2
User_10069,Electronics,15,3
User_1007,Books,15,1
User_1007,Clothing,9,2
